companyName,employees,industry,linkedin_id,page,revenue,source_url,url
Job&Talent,"3,5 mil+ empleados",Desarrollo de software,296493,[2],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=2&savedSearchId=1980479034&sessionId=Mv1i7ZniReqtbhCfuv4rnA%3D%3D,https://www.linkedin.com/company/296493/
Bizneo HR,209 empleados,Desarrollo de software,10057954,[2],10 mills. US$ - 20 mills. US$,https://www.linkedin.com/sales/search/company?page=2&savedSearchId=1980479034&sessionId=Mv1i7ZniReqtbhCfuv4rnA%3D%3D,https://www.linkedin.com/company/10057954/
Factorial,"2,5 mil+ empleados",Desarrollo de software,11016997,[2],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=2&savedSearchId=1980479034&sessionId=Mv1i7ZniReqtbhCfuv4rnA%3D%3D,https://www.linkedin.com/company/11016997/
BBVA Technology en Europa,3 mil+ empleados,Desarrollo de software,11755967,[2],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=2&savedSearchId=1980479034&sessionId=Mv1i7ZniReqtbhCfuv4rnA%3D%3D,https://www.linkedin.com/company/11755967/
Civitatis,449 empleados,Desarrollo de software,10388395,[2],50 mills. US$ - 100 mills. US$,https://www.linkedin.com/sales/search/company?page=2&savedSearchId=1980479034&sessionId=Mv1i7ZniReqtbhCfuv4rnA%3D%3D,https://www.linkedin.com/company/10388395/
Nunegal Consulting,266 empleados,Desarrollo de software,18884235,[2],20 mills. US$ - 50 mills. US$,https://www.linkedin.com/sales/search/company?page=2&savedSearchId=1980479034&sessionId=Mv1i7ZniReqtbhCfuv4rnA%3D%3D,https://www.linkedin.com/company/18884235/
Loewe,"2,5 mil+ empleados",Comercio al por menor de artículos de lujo y joyería,36384,[2],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=2&savedSearchId=1980479034&sessionId=Mv1i7ZniReqtbhCfuv4rnA%3D%3D,https://www.linkedin.com/company/36384/
Lidl España,8 mil+ empleados,Comercio al por menor,1282721,[3],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?page=3&savedSearchId=1980479034&sessionId=zjBgitYzRDqSiSaGqreovw%3D%3D,https://www.linkedin.com/company/1282721/
Lodgify,352 empleados,Desarrollo de software,3151385,[3],50 mills. US$ - 100 mills. US$,https://www.linkedin.com/sales/search/company?page=3&savedSearchId=1980479034&sessionId=zjBgitYzRDqSiSaGqreovw%3D%3D,https://www.linkedin.com/company/3151385/
UNIR-Universidad Internacional de La Rioja,7 mil+ empleados,Enseñanza superior,755604,[3],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=3&savedSearchId=1980479034&sessionId=zjBgitYzRDqSiSaGqreovw%3D%3D,https://www.linkedin.com/company/755604/
Ayesa,"7,5 mil+ empleados",Consultoría y servicios a empresas,110862,[3],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?page=3&savedSearchId=1980479034&sessionId=zjBgitYzRDqSiSaGqreovw%3D%3D,https://www.linkedin.com/company/110862/
knowmad mood,2 mil+ empleados,Servicios y consultoría de TI,84815538,[3],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=3&savedSearchId=1980479034&sessionId=zjBgitYzRDqSiSaGqreovw%3D%3D,https://www.linkedin.com/company/84815538/
Grupo Elecnor,9 mil+ empleados,Construcción,63135,[3],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?page=3&savedSearchId=1980479034&sessionId=zjBgitYzRDqSiSaGqreovw%3D%3D,https://www.linkedin.com/company/63135/
Expansión,244 empleados,Edición de periódicos,1076318,[3],20 mills. US$ - 50 mills. US$,https://www.linkedin.com/sales/search/company?page=3&savedSearchId=1980479034&sessionId=zjBgitYzRDqSiSaGqreovw%3D%3D,https://www.linkedin.com/company/1076318/
SEIDOR,7 mil+ empleados,Servicios y consultoría de TI,39568,[3],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?page=3&savedSearchId=1980479034&sessionId=zjBgitYzRDqSiSaGqreovw%3D%3D,https://www.linkedin.com/company/39568/
Eurofirms Group | People first,3 mil+ empleados,Servicios de recursos humanos,53074907,[3],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=3&savedSearchId=1980479034&sessionId=zjBgitYzRDqSiSaGqreovw%3D%3D,https://www.linkedin.com/company/53074907/
"IDOM Consulting, Engineering, Architecture",5 mil+ empleados,Servicios de ingeniería,12514,[3],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?page=3&savedSearchId=1980479034&sessionId=zjBgitYzRDqSiSaGqreovw%3D%3D,https://www.linkedin.com/company/12514/
Getnet,"3,5 mil+ empleados",Servicios financieros,76159171,[3],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=3&savedSearchId=1980479034&sessionId=zjBgitYzRDqSiSaGqreovw%3D%3D,https://www.linkedin.com/company/76159171/
elEconomista,281 empleados,Edición de periódicos,706324,[3],20 mills. US$ - 50 mills. US$,https://www.linkedin.com/sales/search/company?page=3&savedSearchId=1980479034&sessionId=zjBgitYzRDqSiSaGqreovw%3D%3D,https://www.linkedin.com/company/706324/
TECH Global University,1 mil+ empleado,Enseñanza superior,33255461,[3],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=3&savedSearchId=1980479034&sessionId=zjBgitYzRDqSiSaGqreovw%3D%3D,https://www.linkedin.com/company/33255461/
Zurich Santander Insurance America,1 mil+ empleado,Seguros,35485049,[3],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=3&savedSearchId=1980479034&sessionId=zjBgitYzRDqSiSaGqreovw%3D%3D,https://www.linkedin.com/company/35485049/
EDP Renewables,"1,5 mil+ empleado",Generación de energía renovable,663866,[3],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=3&savedSearchId=1980479034&sessionId=zjBgitYzRDqSiSaGqreovw%3D%3D,https://www.linkedin.com/company/663866/
Real Madrid C.F.,"9,5 mil+ empleados",Espectáculos deportivos,56430,[3],50 mills. US$ - 100 mills. US$,https://www.linkedin.com/sales/search/company?page=3&savedSearchId=1980479034&sessionId=zjBgitYzRDqSiSaGqreovw%3D%3D,https://www.linkedin.com/company/56430/
Universitat Autònoma de Barcelona,8 mil+ empleados,Enseñanza superior,234979,[3],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?page=3&savedSearchId=1980479034&sessionId=zjBgitYzRDqSiSaGqreovw%3D%3D,https://www.linkedin.com/company/234979/
Diario EL PAÍS,"1,5 mil+ empleado",Edición de periódicos,58769,[3],50 mills. US$ - 100 mills. US$,https://www.linkedin.com/sales/search/company?page=3&savedSearchId=1980479034&sessionId=zjBgitYzRDqSiSaGqreovw%3D%3D,https://www.linkedin.com/company/58769/
Universidad Europea,7 mil+ empleados,Programas de gestión educativa,29216,[3],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=3&savedSearchId=1980479034&sessionId=zjBgitYzRDqSiSaGqreovw%3D%3D,https://www.linkedin.com/company/29216/
Universitat Oberta de Catalunya,"6,5 mil+ empleados",Proveedores de e-learning,12297,[3],100 mills. US$ - 500 mills. US$,https://www.linkedin.com/sales/search/company?page=3&savedSearchId=1980479034&sessionId=zjBgitYzRDqSiSaGqreovw%3D%3D,https://www.linkedin.com/company/12297/
ACCIONA Energía,"1,5 mil+ empleado",Generación de energía renovable,5143425,[3],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?page=3&savedSearchId=1980479034&sessionId=zjBgitYzRDqSiSaGqreovw%3D%3D,https://www.linkedin.com/company/5143425/
Plexus Tech,3 mil+ empleados,Servicios y consultoría de TI,2650298,[3],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=3&savedSearchId=1980479034&sessionId=zjBgitYzRDqSiSaGqreovw%3D%3D,https://www.linkedin.com/company/2650298/
Universidad Politécnica de Madrid,6 mil+ empleados,Enseñanza superior,166617,[3],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=3&savedSearchId=1980479034&sessionId=zjBgitYzRDqSiSaGqreovw%3D%3D,https://www.linkedin.com/company/166617/
Universidad de Sevilla,8 mil+ empleados,Enseñanza superior,307293,[3],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?page=3&savedSearchId=1980479034&sessionId=zjBgitYzRDqSiSaGqreovw%3D%3D,https://www.linkedin.com/company/307293/
thePower,565 empleados,Programas de gestión educativa,11219506,[3],10 mills. US$ - 20 mills. US$,https://www.linkedin.com/sales/search/company?page=3&savedSearchId=1980479034&sessionId=zjBgitYzRDqSiSaGqreovw%3D%3D,https://www.linkedin.com/company/11219506/
Red Points,328 empleados,Desarrollo de software,5092038,[4],50 mills. US$ - 100 mills. US$,https://www.linkedin.com/sales/search/company?page=4&savedSearchId=1980479034&sessionId=HsREK9pxRlOyzkrWFsus7w%3D%3D,https://www.linkedin.com/company/5092038/
Capitole,1 mil+ empleado,Servicios y consultoría de TI,9413785,[4],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=4&savedSearchId=1980479034&sessionId=HsREK9pxRlOyzkrWFsus7w%3D%3D,https://www.linkedin.com/company/9413785/
Iberostar Hotels & Resorts,"7,5 mil+ empleados",Hostelería,215753,[4],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?page=4&savedSearchId=1980479034&sessionId=HsREK9pxRlOyzkrWFsus7w%3D%3D,https://www.linkedin.com/company/215753/
Esade,3 mil+ empleados,Enseñanza superior,163678,[4],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=4&savedSearchId=1980479034&sessionId=HsREK9pxRlOyzkrWFsus7w%3D%3D,https://www.linkedin.com/company/163678/
ALTEN Spain,2 mil+ empleados,Servicios y consultoría de TI,2150009,[4],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=4&savedSearchId=1980479034&sessionId=HsREK9pxRlOyzkrWFsus7w%3D%3D,https://www.linkedin.com/company/2150009/
La mente es maravillosa,216 empleados,"Tecnología, información e internet",3068654,[4],10 mills. US$ - 20 mills. US$,https://www.linkedin.com/sales/search/company?page=4&savedSearchId=1980479034&sessionId=HsREK9pxRlOyzkrWFsus7w%3D%3D,https://www.linkedin.com/company/3068654/
Applus+,"7,5 mil+ empleados",Consultoría y servicios a empresas,28334,[4],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?page=4&savedSearchId=1980479034&sessionId=HsREK9pxRlOyzkrWFsus7w%3D%3D,https://www.linkedin.com/company/28334/
Universidad Autónoma de Madrid,"8,5 mil+ empleados",Enseñanza superior,166613,[4],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=4&savedSearchId=1980479034&sessionId=HsREK9pxRlOyzkrWFsus7w%3D%3D,https://www.linkedin.com/company/166613/
